ts,bytes,event_id
1,1291903,1
2,1304637,1
3,1304637,1
4,1304637,1
5,1304637,1
6,1304637,1
7,1304637,1
8,1304637,1
9,1304637,1
10,1304637,1
11,1304637,1
12,1304637,1
13,1304637,1
14,1304637,1
15,1304637,1
16,1304637,1
17,1304637,1
18,1304637,1
19,1304637,1
20,1304637,1
21,1304637,1
22,1304637,1
23,1304637,1
24,1304637,1
25,1304637,1
26,1304637,1
27,1304637,1
28,1400535,1
29,1304637,1
30,1304637,1
31,1304637,1
32,1311333,1
33,1304637,1
34,1304637,1
35,1310805,1
36,1304637,1
37,1304637,1
38,1304637,1
39,1304637,1
40,1304637,1
41,1304637,1
42,1304637,1
43,1304637,1
44,1304637,1
45,1304637,1
46,1304637,1
47,1304637,1
48,1304637,1
49,1304637,1
50,1304637,1
51,1304843,1
52,1304637,1
53,1304637,1
54,1304637,1
55,1310805,1
56,1304637,1
57,1304637,1
58,1304637,1
59,1304637,1
60,1304637,1
61,1304637,1
62,1304637,1
63,1304637,1
64,1304637,1
65,1304637,1
66,1304637,1
67,1304637,1
68,1304637,1
69,1304637,1
70,1304637,1
71,1304637,1
72,1304637,1
73,1304637,1
74,1304637,1
75,1304637,1
76,1304637,1
77,1304637,1
78,1304637,1
79,1304637,1
80,1304637,1
81,1304637,1
82,1304637,1
83,1304637,1
84,1304637,1
85,1304637,1
86,1304637,1
87,1304637,1
88,1304637,1
89,1304637,1
90,1304637,1
91,1304637,1
92,1304637,1
93,1304637,1
94,1312585,1
95,1304637,1
96,1310805,1
97,1304637,1
98,1304637,1
99,1304637,1
100,1304637,1
