ts,bytes,event_id
1,2775441.0,1
2,2105626.0,1
3,2347054.0,1
4,2397824.0,1
5,2347054.0,1
6,2600093.0,1
7,2071250.0,1
8,2347057.0,1
9,2719459.0,1
10,2178905.0,1
11,2363085.0,1
12,2519656.0,1
13,2375375.0,1
14,2342013.0,1
15,2701722.0,1
16,2033157.0,1
17,2413925.0,1
18,2431319.0,1
19,2447663.0,1
20,2558369.0,1
21,2392769.0,1
22,2503415.0,1
23,2431523.0,1
24,2874496.0,1
25,2049069.0,1
26,2264458.0,1
27,2447351.0,1
28,2558036.0,1
29,2342040.0,1
30,2519371.0,1
31,2496798.0,1
32,2593192.0,1
33,2503401.0,1
34,2813041.0,1
35,2005809.0,1
36,2519976.0,1
37,2341974.0,1
38,2626296.0,1
39,2431461.0,1
40,2682390.0,1
41,2141843.0,1
42,2554271.0,1
43,2375219.0,1
44,2342105.0,1
45,2431452.0,1
46,2591732.0,1
47,2521113.0,1
48,2536938.0,1
49,2698296.0,1
50,2279815.0,1
51,2528257.0,1
52,2684339.0,1
53,3156680.0,1
54,1811804.0,1
55,2121158.0,1
56,2486095.0,1
57,2665707.0,1
58,2052583.0,1
59,2342552.0,1
60,2354497.0,1
61,2521570.0,1
62,2336889.0,1
63,2393297.0,1
64,2465148.0,1
65,2504252.0,1
66,2521369.0,1
67,2226190.0,1
68,2465147.0,1
69,2711225.0,1
70,2113882.0,1
71,2576088.0,1
72,2617347.0,1
73,2507432.0,1
74,2182867.0,1
75,2526002.0,1
76,2815380.0,1
77,2236057.0,1
78,2635264.0,1
79,2832128.0,1
80,1912689.0,1
81,2396257.0,1
82,2436396.0,1
83,2436433.0,1
84,2397421.0,1
85,2777683.0,1
86,2355551.0,1
87,2259140.0,1
88,2598385.0,1
89,3003057.0,1
90,1922796.0,1
91,2491194.0,1
92,2436669.0,1
93,2705085.0,1
94,2780922.0,1
95,2129495.0,1
96,2508620.0,1
97,2687715.0,1
98,2618160.0,1
99,2399297.0,1
100,2347186.0,1
