ts,bytes,event_id
1,23518949,1
2,23533603,1
3,23533603,1
4,26326815,1
5,20740391,1
6,23533603,1
7,23533603,1
8,23533603,1
9,23533603,1
10,23533603,1
11,23533603,1
12,23533603,1
13,23533603,1
14,23533603,1
15,23533603,1
16,23533603,1
17,23533603,1
18,23533603,1
19,23533603,1
20,23533603,1
21,23533603,1
22,23533603,1
23,23571318,1
24,23495888,1
25,23533603,1
26,23533603,1
27,23533603,1
28,23533603,1
29,23533603,1
30,23533603,1
31,23533603,1
32,23533603,1
33,23533603,1
34,23533603,1
35,23533603,1
36,23533603,1
37,23533603,1
38,23533603,1
39,23533603,1
40,23533603,1
41,23533603,1
42,23533603,1
43,23533603,1
44,23533603,1
45,23533603,1
46,23533603,1
47,23533603,1
48,23533603,1
49,23533603,1
50,23518949,1
51,23533603,1
52,23533603,1
53,23533603,1
54,23533603,1
55,23533603,1
56,23533603,1
57,23533603,1
58,23533603,1
59,23533603,1
60,23533603,1
61,23533603,1
62,23533603,1
63,23533603,1
64,23533603,1
65,26961555,1
66,20105651,1
67,23533603,1
68,23533603,1
69,23533603,1
70,23533603,1
71,23533603,1
72,23533603,1
73,23533603,1
74,23533603,1
75,23533603,1
76,23533603,1
77,23533603,1
78,23533603,1
79,23533603,1
80,23533603,1
81,23533603,1
82,23533603,1
83,23533603,1
84,23533603,1
85,23820082,1
86,23247125,1
87,23533604,1
88,23533604,1
89,23533604,1
90,23533604,1
91,23533604,1
92,23533604,1
93,23533604,1
94,23533604,1
95,23548259,1
96,23518949,1
97,40505568,1
98,20292213,1
99,23533604,1
100,0,1
