ts,bytes,event_id
1,3365556.0,1
2,3365554.0,1
3,3365555.0,1
4,3365554.0,1
5,3365556.0,1
6,3365555.0,1
7,3365555.0,1
8,3365555.0,1
9,3365555.0,1
10,3365555.0,1
11,3365555.0,1
12,3365555.0,1
13,3365556.0,1
14,3365558.0,1
15,3365555.0,1
16,3365555.0,1
17,3365555.0,1
18,3365555.0,1
19,3365555.0,1
20,3365555.0,1
21,3365555.0,1
22,3365555.0,1
23,3365555.0,1
24,3365556.0,1
25,3365555.0,1
26,3365555.0,1
27,3365554.0,1
28,3365556.0,1
29,3365557.0,1
30,3365557.0,1
31,3365556.0,1
32,3365556.0,1
33,3365556.0,1
34,3365556.0,1
35,3365557.0,1
36,3365555.0,1
37,3365556.0,1
38,3365555.0,1
39,3365555.0,1
40,3365555.0,1
41,3365558.0,1
42,3365557.0,1
43,3365555.0,1
44,3365555.0,1
45,3365554.0,1
46,3365556.0,1
47,3365557.0,1
48,3365556.0,1
49,3365555.0,1
50,3365555.0,1
51,3365557.0,1
52,3365557.0,1
53,3365555.0,1
54,3365555.0,1
55,3365555.0,1
56,3365555.0,1
57,3365555.0,1
58,3365555.0,1
59,3365556.0,1
60,3365555.0,1
61,3365557.0,1
62,3365556.0,1
63,3365556.0,1
64,3365553.0,1
65,3365556.0,1
66,3365554.0,1
67,3365556.0,1
68,3365553.0,1
69,3365555.0,1
70,3365555.0,1
71,3365556.0,1
72,3365554.0,1
73,3365558.0,1
74,3365557.0,1
75,3365557.0,1
76,3365553.0,1
77,3365555.0,1
78,3365555.0,1
79,3365555.0,1
80,3365555.0,1
81,3365558.0,1
82,3365557.0,1
83,3365553.0,1
84,3365556.0,1
85,3365557.0,1
86,3365555.0,1
87,3365555.0,1
88,3365556.0,1
89,3365557.0,1
90,3365555.0,1
91,3365555.0,1
92,3365555.0,1
93,3365555.0,1
94,3365556.0,1
95,3365554.0,1
96,3365556.0,1
97,3365557.0,1
98,3365555.0,1
99,3365556.0,1
100,3365556.0,1
101,3365554.0,1
102,3365555.0,1
103,3365555.0,1
104,3365555.0,1
105,3365555.0,1
106,3365557.0,1
107,3365555.0,1
108,3365555.0,1
109,3365555.0,1
110,3365555.0,1
111,3365557.0,1
112,3365556.0,1
113,3365556.0,1
114,3365556.0,1
115,3365556.0,1
116,3365558.0,1
117,3365553.0,1
118,3365555.0,1
119,3365555.0,1
120,3365556.0,1
121,3365557.0,1
122,3365555.0,1
123,3365555.0,1
124,3365555.0,1
125,3365556.0,1
126,3365555.0,1
127,3365557.0,1
128,3365555.0,1
129,3365555.0,1
130,3365557.0,1
131,3365553.0,1
132,3365557.0,1
133,3365556.0,1
134,3365557.0,1
135,3365554.0,1
136,3365557.0,1
137,3365556.0,1
138,3365553.0,1
139,3365555.0,1
140,3365556.0,1
141,3365555.0,1
142,3365555.0,1
143,3365556.0,1
144,3365556.0,1
145,3365555.0,1
146,3365555.0,1
147,3365555.0,1
148,3365557.0,1
149,3365556.0,1
